rho,betai1,psii1,Li1,gammai1,betai2,psii2,Li2,gammai2,betai3,psii3,Li3,gammai3,betai4,psii4,Li4,gammai4,betai5,psii5,Li5,gammai5,betai6,psii6,Li6,gammai6,betai7,psii7,Li7,gammai7,betai8,psii8,Li8,gammai8,betai9,psii9,Li9,gammai9,betai10,psii10,Li10,gammai10,beta,eta,L,gamma
4.82535,0.3071022785141999,0.044721708465284116,4.185899466102886,0.2282133862197339,0.3071022785141999,0.044721708465284116,4.185899466102886,0.2282133862197339,0.3071022785141999,0.044721708465284116,4.185899466102886,0.2282133862197339,0.8549339586934745,7.967973653544291e-06,5.830326891796068,0.17151560291301146,0.8549339586934745,7.967973653544291e-06,5.830326891796068,0.17151560291301146,0.8549339586934745,7.967973653544291e-06,5.830326891796068,0.17151560291301146,0.8549339586934745,7.967973653544291e-06,5.830326891796068,0.17151560291301146,0.8186712814391748,2.9106162882319708e-05,5.778545768159189,0.17304888356983075,0.8186712814391748,2.9106162882319708e-05,5.778545768159189,0.17304888356983075,0.8186712814391748,2.9106162882319708e-05,5.778545768159189,0.17304888356983075,0.795544039619491,0.9865715684220889,53.2146432699705,0.18539475373666933
4.812875,0.3056602599179344,0.04520846384357946,4.177745302612742,0.2285423038018374,0.3056602599179344,0.04520846384357946,4.177745302612742,0.2285423038018374,0.3056602599179344,0.04520846384357946,4.177745302612742,0.2285423038018374,0.85455796429306,8.089138515798844e-06,5.82981239079202,0.1715307189714948,0.85455796429306,8.089138515798844e-06,5.82981239079202,0.1715307189714948,0.85455796429306,8.089138515798844e-06,5.82981239079202,0.1715307189714948,0.85455796429306,8.089138515798844e-06,5.82981239079202,0.1715307189714948,0.8182013560912967,2.9544797599756478e-05,5.777844893980967,0.1730697991294493,0.8182013560912967,2.9544797599756478e-05,5.777844893980967,0.1730697991294493,0.8182013560912967,2.9544797599756478e-05,5.777844893980967,0.1730697991294493,0.7950444668203017,0.9864253617522404,53.18602015294921,0.1854670379388299
4.8004,0.3042148379837331,0.04570083093060362,4.1695404166408725,0.2288739462173659,0.3042148379837331,0.04570083093060362,4.1695404166408725,0.2288739462173659,0.3042148379837331,0.04570083093060362,4.1695404166408725,0.2288739462173659,0.8541800159819135,8.21245653959135e-06,5.829294761739598,0.17154592938186566,0.8541800159819135,8.21245653959135e-06,5.829294761739598,0.17154592938186566,0.8541800159819135,8.21245653959135e-06,5.829294761739598,0.17154592938186566,0.8541800159819135,8.21245653959135e-06,5.829294761739598,0.17154592938186566,0.8177289897213009,2.9991152152075706e-05,5.777139577063975,0.17309085153799364,0.8177289897213009,2.9991152152075706e-05,5.777139577063975,0.17309085153799364,0.8177289897213009,2.9991152152075706e-05,5.777139577063975,0.17309085153799364,0.7945426488641452,0.9862774683925575,53.15721902807294,0.1855397039998825
4.7879249999999995,0.3027660324940902,0.046198873179790656,4.161284541339649,0.22920834116120084,0.3027660324940902,0.046198873179790656,4.161284541339649,0.22920834116120084,0.3027660324940902,0.046198873179790656,4.161284541339649,0.22920834116120084,0.8538000984936207,8.337971527327959e-06,5.828773976053983,0.17156123502758575,0.8538000984936207,8.337971527327959e-06,5.828773976053983,0.17156123502758575,0.8538000984936207,8.337971527327959e-06,5.828773976053983,0.17156123502758575,0.8538000984936207,8.337971527327959e-06,5.828773976053983,0.17156123502758575,0.8172541632772459,3.0445381951516026e-05,5.776429775159108,0.17311204213341364,0.8172541632772459,3.0445381951516026e-05,5.776429775159108,0.17311204213341364,0.8172541632772459,3.0445381951516026e-05,5.776429775159108,0.17311204213341364,0.7940385721909038,0.9861278692428669,53.128238853712205,0.18561275331526705
4.77545,0.301313863874393,0.0467026546397058,4.152977410853262,0.22954551663800923,0.301313863874393,0.0467026546397058,4.152977410853262,0.22954551663800923,0.301313863874393,0.0467026546397058,4.152977410853262,0.22954551663800923,0.8534181964023907,8.465728280948603e-06,5.828250004801573,0.17157663680313667,0.8534181964023907,8.465728280948603e-06,5.828250004801573,0.17157663680313667,0.8534181964023907,8.465728280948603e-06,5.828250004801573,0.17157663680313667,0.8534181964023907,8.465728280948603e-06,5.828250004801573,0.17157663680313667,0.8167768575087572,3.09076459363844e-05,5.775715445482279,0.17313337227100267,0.8167768575087572,3.09076459363844e-05,5.775715445482279,0.17313337227100267,0.8167768575087572,3.09076459363844e-05,5.775715445482279,0.17313337227100267,0.7935322231364593,0.9859765450229954,53.09907858821291,0.18568618726311859
4.762975,0.2998583532023306,0.04721223995539181,4.144618760392799,0.2298855009656689,0.2998583532023306,0.04721223995539181,4.144618760392799,0.2298855009656689,0.2998583532023306,0.04721223995539181,4.144618760392799,0.2298855009656689,0.8530342941209734,8.595772633568366e-06,5.827722818694651,0.17159213561419073,0.8530342941209734,8.595772633568366e-06,5.827722818694651,0.17159213561419073,0.8530342941209734,8.595772633568366e-06,5.827722818694651,0.17159213561419073,0.8530342941209734,8.595772633568366e-06,5.827722818694651,0.17159213561419073,0.8162970529644438,3.1378106653323634e-05,5.774996544705984,0.17315484332367803,0.8162970529644438,3.1378106653323634e-05,5.774996544705984,0.17315484332367803,0.8162970529644438,3.1378106653323634e-05,5.774996544705984,0.17315484332367803,0.7930235879314224,0.9858234762723336,53.06973719007495,0.18576000720363495
4.7505,0.2983995222173425,0.047727694369567475,4.136208326312996,0.2302283227787236,0.2983995222173425,0.047727694369567475,4.136208326312996,0.2302283227787236,0.2983995222173425,0.047727694369567475,4.136208326312996,0.2302283227787236,0.8526483758985436,8.72815147345829e-06,5.827192388085971,0.1716077323777856,0.8526483758985436,8.72815147345829e-06,5.827192388085971,0.1716077323777856,0.8526483758985436,8.72815147345829e-06,5.827192388085971,0.1716077323777856,0.8526483758985436,8.72815147345829e-06,5.827192388085971,0.1716077323777856,0.8158147299892768,3.18569303539018e-05,5.774273028950693,0.17317645668226417,0.8158147299892768,3.18569303539018e-05,5.774273028950693,0.17317645668226417,0.8158147299892768,3.18569303539018e-05,5.774273028950693,0.17317645668226417,0.792512652699835,0.985668643349434,53.040213618134956,0.18583421447843199
4.738025,0.2969373933301095,0.04824908372368342,4.127745846190701,0.23057401103186675,0.2969373933301095,0.04824908372368342,4.127745846190701,0.23057401103186675,0.2969373933301095,0.04824908372368342,4.127745846190701,0.23057401103186675,0.8522604258185515,8.86291277535367e-06,5.826658682963231,0.17162342802250172,0.8522604258185515,8.86291277535367e-06,5.826658682963231,0.17162342802250172,0.8522604258185515,8.86291277535367e-06,5.826658682963231,0.17162342802250172,0.8522604258185515,8.86291277535367e-06,5.826658682963231,0.17162342802250172,0.8153298687219247,3.234428708265291e-05,5.773544853776091,0.1731982137557839,0.8153298687219247,3.234428708265291e-05,5.773544853776091,0.1731982137557839,0.8153298687219247,3.234428708265291e-05,5.773544853776091,0.1731982137557839,0.7919994034578415,0.9855120264316607,53.01050683175329,0.18590881040989013
4.72555,0.29547198963207877,0.04877647445881994,4.119231058905054,0.2309225950034538,0.29547198963207877,0.04877647445881994,4.119231058905054,0.2309225950034538,0.29547198963207877,0.04877647445881994,4.119231058905054,0.2309225950034538,0.8518704277965388,9.000105619771936e-06,5.826121672943458,0.17163922348864497,0.8518704277965388,9.000105619771936e-06,5.826121672943458,0.17163922348864497,0.8518704277965388,9.000105619771936e-06,5.826121672943458,0.17163922348864497,0.8518704277965388,9.000105619771936e-06,5.826121672943458,0.17163922348864497,0.8148424490920494,3.2840350781770944e-05,5.772811974172141,0.17322011597175224,0.8148424490920494,3.2840350781770944e-05,5.772811974172141,0.17322011597175224,0.8148424490920494,3.2840350781770944e-05,5.772811974172141,0.17322011597175224,0.7914838261123315,0.985353605514872,52.98061579100542,0.18598379630048706
4.713075,0.29400333490502484,0.04930993361642855,4.11066370471941,0.23127410429904402,0.29400333490502484,0.04930993361642855,4.11066370471941,0.23127410429904402,0.29400333490502484,0.04930993361642855,4.11066370471941,0.23127410429904402,0.851478365577921,9.139780228761829e-06,5.825581327267276,0.17165511972843014,0.851478365577921,9.139780228761829e-06,5.825581327267276,0.17165511972843014,0.851478365577921,9.139780228761829e-06,5.825581327267276,0.17165511972843014,0.851478365577921,9.139780228761829e-06,5.825581327267276,0.17165511972843014,0.8143524508175571,3.334529938070485e-05,5.77207434454999,0.1732421647764795,0.8143524508175571,3.334529938070485e-05,5.77207434454999,0.1732421647764795,0.8143524508175571,3.334529938070485e-05,5.77207434454999,0.1732421647764795,0.790965906459548,0.9851933604131657,52.95053945687731,0.18605917343212394
