rho,1beta,1eta,1L,1gamma,2beta,2eta,2L,2gamma,3beta,3eta,3L,3gamma,6beta,6eta,6L,6gamma,10beta,10eta,10L,10gamma
3.640225,0.7376933052499484,0.9548553878965067,9.664338265390121,2.4700485477521776,0.7259768158264998,0.99750604560798,19.624911077658638,1.2707140960546304,0.7253305006515964,0.9998587782655424,29.621522326894212,0.8438617428498454,0.7252917130809892,0.9999999737497562,59.62124449199298,0.41931361139402845,0.7252917058699063,0.9999999999997202,99.62124440152031,0.2509504890265302
3.62775,0.7368420148693388,0.9546713805577562,9.662955078014743,2.4699260548407045,0.7250404565155069,0.99748448387587,19.62316583863395,1.2707996406879842,0.7243864890038595,0.9998569145162487,29.619729512559022,0.8439112468028283,0.7243470544981518,0.9999999730443296,59.61944638780123,0.4193262574679577,0.7243470470678223,0.9999999999997077,99.61944629435988,0.2509550186227858
3.615275,0.7359852585515589,0.9544858943900127,9.661560652434513,2.469802573121305,0.7240977124238064,0.9974626427170233,19.621404458311773,1.2708858899935813,0.7234359715738744,0.9998550178682613,29.61791967020263,0.8439612141920404,0.7233958765746202,0.9999999723166898,59.61763112958879,0.41933902495346737,0.7233958689173868,0.9999999999996944,99.61763103306704,0.250959591597735
3.6028000000000002,0.7351229844018129,0.9542989117971485,9.660154853450432,2.469678090761377,0.7231485185660931,0.9974405173100799,19.619626714220377,1.2709728526424147,0.7224788809832388,0.9998530875935875,29.616092556779705,0.8440116515005129,0.7224381115893103,0.999999971566033,59.615798470705506,0.419351915607329,0.7224381036972134,0.9999999999996796,99.61579837098688,0.2509642085775146
3.590325,0.7342551398808504,0.9541104149072857,9.65873754372079,2.4695525957415607,0.7221928090827674,0.9974181027299132,19.61783237982764,1.2710605374469466,0.7215151489224921,0.9998511229448535,29.614247924614062,0.8440625653317885,0.7214736908799274,0.9999999707915246,59.61394815974989,0.41936493122036833,0.7214736827446916,0.9999999999996652,99.61394805671289,0.25096887020037056
3.5778499999999998,0.7333816717952261,0.9539203855674504,9.657308583719221,2.469426075852069,0.721230517225442,0.9973953939449525,19.616021224449128,1.271148953363964,0.7205447061350532,0.9998491231547,29.612385521288292,0.8441139624127125,0.7205025448265592,0.9999999699922952,59.61207994045412,0.4193780736182937,0.7205025364395796,0.99999999999965,99.61207983397212,0.2509735771169507
3.565375,0.7325025262873859,0.9537288053381116,9.655867831691772,2.4692985186889516,0.7202615753421653,0.9973723858144274,19.61419301315364,1.2712381094975094,0.7195674824008244,0.9998470874351608,29.61050508953018,0.8441658495963072,0.719524602834923,0.9999999691674363,59.61019355156585,0.4193913446625473,0.7195245941872501,0.9999999999996331,99.61019344150671,0.2509783299906086
3.5529,0.7316176488255782,0.9535356554876032,9.654415143612907,2.4691699116503085,0.7192859148623555,0.9973490730855372,19.612347506666183,1.2713280151018906,0.7185834065194598,0.9998450149770112,29.608606367096055,0.8442182338647114,0.7185397933192582,0.9999999683160076,59.60828872672625,0.4194047462511883,0.7185397844015827,0.9999999999996168,99.60828861295214,0.25098312949771584
3.540425,0.7307269841935932,0.9533409169863979,9.652950373140595,2.4690402419323423,0.7183034662814418,0.9973254503905263,19.61048446126834,1.2714186795847557,0.7175924062932838,0.9998429049491007,29.606689086650547,0.844271122332219,0.7175480436848615,0.9999999674370244,59.60636519434482,0.419418280319792,0.7175480344874982,0.9999999999995993,99.60636507671187,0.2509879763279809
3.5279499999999997,0.7298304764803177,0.953144570501263,9.651473371570244,2.468909496525377,0.7173141591452057,0.9973015122436715,19.608603628695924,1.2715101125102366,0.7165944085098553,0.9998407564976558,29.60475297564303,0.8443245222483896,0.7165492803102469,0.9999999665294644,59.60442267747013,0.41943194884238605,0.7165492708231181,0.9999999999995802,99.60442255582825,0.2509928711847811
3.515475,0.7289280690691079,0.9529465963892779,9.64998398778759,2.468777662209769,0.7163179220338108,0.9972772530381888,19.606704756033746,1.2716023236021952,0.7155893389241672,0.9998385687455633,29.60279775618035,0.8443784410012574,0.7155434285289298,0.9999999655922603,59.60246089365708,0.41944575383240634,0.7155434187415469,0.9999999999995604,99.60246076784955,0.25099781478550276
3.503,0.7280197046269762,0.9527469746917024,9.648482068220495,2.4686447255516875,0.7153146825455251,0.9972526670430256,19.604787585607593,1.2716953227475107,0.7145771222404738,0.9998363407916204,29.60082314489589,0.844432886120621,0.7145304126108194,0.9999999646242996,59.60047955482989,0.41945969734368604,0.7145304025122643,0.9999999999995383,99.60047942469306,0.25100280786189094
3.490525,0.7271053250935845,0.952545685127716,9.646967456789545,2.4685106728988533,0.714304367280115,0.9972277483995764,19.60285185487314,1.2717891199994864,0.7135576820937348,0.9998340717097662,29.59882885281479,0.8444878652814367,0.713510155743212,0.999999963624425,59.598478367141084,0.41947378147147596,0.7135101453221172,0.9999999999995168,99.59847823250401,0.25100785116041224
3.47805,0.7261848716700456,0.9523427070879978,9.645439994857504,2.4683754903761317,0.7132869018219178,0.9972024911182789,19.600897296301824,1.2718837255813091,0.7125309410306718,0.9998317605482718,29.59681458521515,0.844543386307297,0.7124825800113778,0.9999999625914275,59.596457030826244,0.4194880083534907,0.7124825692559067,0.9999999999994937,99.5964568915104,0.2510129454426239
3.4655750000000003,0.7252582848075251,0.9521380196281614,9.643899521177572,2.468239163881034,0.7122622107225739,0.997176889075116,19.598923637263507,1.271979149889614,0.7114968204904184,0.9998294063289184,29.594780041485116,0.8445994571740236,0.7114476063787254,0.9999999615240488,59.59441524005437,0.4195023801709915,0.7114475952765501,0.99999999999947,99.59441509587323,0.25101809148556004
3.4531,0.7243255041956418,0.9519316014620294,9.64234587184037,2.4681016790791093,0.711230217483418,0.9971509360080094,19.596930599905818,1.2720754034981396,0.7104552407847649,0.9998270080461285,29.592724914975737,0.8446560860133521,0.7104051546665393,0.9999999604209732,59.59235268277359,0.41951689914989876,0.7104051432048177,0.9999999999994439,99.59235253353229,0.25102329008212465
3.440625,0.7233864687506626,0.9517234309547514,9.64077888021968,2.4679630213992243,0.7101908445375226,0.9971246255130863,19.59491790103023,1.2721724971614468,0.7094061210779807,0.9998245646660725,29.590648892849387,0.8447132811167258,0.7093551435332736,0.9999999592808306,59.59026904055224,0.4195315675619424,0.7093551316986256,0.9999999999994161,99.59026888604703,0.2510285420415006
3.42815,0.722441116603485,0.951513486115763,9.639198376916827,2.4678231760287517,0.709144013231378,0.9970979510408515,19.592885251964482,1.2722704418187687,0.7083493793662055,0.9998220751257427,29.588551655923638,0.8447710509392051,0.7082974904533959,0.999999958102191,59.5881639884149,0.4195463877258454,0.7082974782318777,0.9999999999993884,99.58816382843271,0.2510338481895691
3.4156750000000002,0.7214893850874099,0.9513017445915612,9.637604189703772,2.4676821279085983,0.7080896438062104,0.9970709058922222,19.590832358431438,1.2723692485979368,0.7072849324563993,0.9998195383319882,29.586432878510365,0.8448294041034863,0.7072321116957669,0.9999999568835614,59.58603719467351,0.4195613620085448,0.7072320990728457,0.999999999999358,99.58603702899164,0.25103920936934065
3.4032,0.7205312107256934,0.9510881836583203,9.635996143464785,2.467539861728142,0.7070276553789258,0.9970434832144399,19.588758920414286,1.2724689288193982,0.7062126959448406,0.9998169531605184,29.584292228250014,0.8448883494040413,0.706158922301544,0.9999999556233855,59.58388832075309,0.4195764928264531,0.7061589092620691,0.9999999999993263,99.58388814913857,0.25104462644140507
