rho,betak1,psii1,Li1,gammai1,psii2,Li2,gammai2,psii3,Li3,gammai3,psii4,Li4,gammai4,psii5,Li5,gammai5,psii6,Li6,gammai6,psii7,Li7,gammai7,psii8,Li8,gammai8,psii9,Li9,gammai9,psii10,Li10,gammai10,beta,eta,L,gamma
3.130000e+00,6.805112e-01,3.850374e-11,5.981221e+00,1.671900e-01,3.850374e-11,5.981221e+00,1.671900e-01,3.850374e-11,5.981221e+00,1.671900e-01,3.850374e-11,5.981221e+00,1.671900e-01,3.850374e-11,5.981221e+00,1.671900e-01,1.082033e-07,5.924883e+00,6.751188e-01,1.082033e-07,5.924883e+00,6.751188e-01,1.082033e-07,5.924883e+00,6.751188e-01,1.082033e-07,5.924883e+00,6.751188e-01,1.082033e-07,5.924883e+00,6.751188e-01,6.805112e-01,9.999999e-01,5.953052e+01,4.199526e-01
3.140000e+00,6.815287e-01,3.745935e-11,5.981308e+00,1.671875e-01,3.745935e-11,5.981308e+00,1.671875e-01,3.745935e-11,5.981308e+00,1.671875e-01,3.745935e-11,5.981308e+00,1.671875e-01,3.745935e-11,5.981308e+00,1.671875e-01,1.054456e-07,5.925234e+00,6.750788e-01,1.054456e-07,5.925234e+00,6.750788e-01,1.054456e-07,5.925234e+00,6.750788e-01,1.054456e-07,5.925234e+00,6.750788e-01,1.054456e-07,5.925234e+00,6.750788e-01,6.815287e-01,9.999999e-01,5.953271e+01,4.199372e-01
3.150000e+00,6.825397e-01,3.644787e-11,5.981395e+00,1.671851e-01,3.644787e-11,5.981395e+00,1.671851e-01,3.644787e-11,5.981395e+00,1.671851e-01,3.644787e-11,5.981395e+00,1.671851e-01,3.644787e-11,5.981395e+00,1.671851e-01,1.027695e-07,5.925581e+00,6.750392e-01,1.027695e-07,5.925581e+00,6.750392e-01,1.027695e-07,5.925581e+00,6.750392e-01,1.027695e-07,5.925581e+00,6.750392e-01,1.027695e-07,5.925581e+00,6.750392e-01,6.825397e-01,9.999999e-01,5.953488e+01,4.199218e-01
3.160000e+00,6.835443e-01,3.546810e-11,5.981481e+00,1.671827e-01,3.546810e-11,5.981481e+00,1.671827e-01,3.546810e-11,5.981481e+00,1.671827e-01,3.546810e-11,5.981481e+00,1.671827e-01,3.546810e-11,5.981481e+00,1.671827e-01,1.001724e-07,5.925926e+00,6.749999e-01,1.001724e-07,5.925926e+00,6.749999e-01,1.001724e-07,5.925926e+00,6.749999e-01,1.001724e-07,5.925926e+00,6.749999e-01,1.001724e-07,5.925926e+00,6.749999e-01,6.835443e-01,9.999999e-01,5.953704e+01,4.199067e-01
3.170000e+00,6.845426e-01,3.451892e-11,5.981567e+00,1.671803e-01,3.451892e-11,5.981567e+00,1.671803e-01,3.451892e-11,5.981567e+00,1.671803e-01,3.451892e-11,5.981567e+00,1.671803e-01,3.451892e-11,5.981567e+00,1.671803e-01,9.765144e-08,5.926267e+00,6.749610e-01,9.765144e-08,5.926267e+00,6.749610e-01,9.765144e-08,5.926267e+00,6.749610e-01,9.765144e-08,5.926267e+00,6.749610e-01,9.765144e-08,5.926267e+00,6.749610e-01,6.845426e-01,9.999999e-01,5.953917e+01,4.198916e-01
3.180000e+00,6.855346e-01,3.359925e-11,5.981651e+00,1.671779e-01,3.359925e-11,5.981651e+00,1.671779e-01,3.359925e-11,5.981651e+00,1.671779e-01,3.359925e-11,5.981651e+00,1.671779e-01,3.359925e-11,5.981651e+00,1.671779e-01,9.520420e-08,5.926606e+00,6.749225e-01,9.520420e-08,5.926606e+00,6.749225e-01,9.520420e-08,5.926606e+00,6.749225e-01,9.520420e-08,5.926606e+00,6.749225e-01,9.520420e-08,5.926606e+00,6.749225e-01,6.855346e-01,9.999999e-01,5.954128e+01,4.198767e-01
3.190000e+00,6.865204e-01,3.270803e-11,5.981735e+00,1.671756e-01,3.270803e-11,5.981735e+00,1.671756e-01,3.270803e-11,5.981735e+00,1.671756e-01,3.270803e-11,5.981735e+00,1.671756e-01,3.270803e-11,5.981735e+00,1.671756e-01,9.282820e-08,5.926941e+00,6.748844e-01,9.282820e-08,5.926941e+00,6.748844e-01,9.282820e-08,5.926941e+00,6.748844e-01,9.282820e-08,5.926941e+00,6.748844e-01,9.282820e-08,5.926941e+00,6.748844e-01,6.865204e-01,9.999999e-01,5.954338e+01,4.198619e-01
3.200000e+00,6.875000e-01,3.184427e-11,5.981818e+00,1.671733e-01,3.184427e-11,5.981818e+00,1.671733e-01,3.184427e-11,5.981818e+00,1.671733e-01,3.184427e-11,5.981818e+00,1.671733e-01,3.184427e-11,5.981818e+00,1.671733e-01,9.052109e-08,5.927273e+00,6.748466e-01,9.052109e-08,5.927273e+00,6.748466e-01,9.052109e-08,5.927273e+00,6.748466e-01,9.052109e-08,5.927273e+00,6.748466e-01,9.052109e-08,5.927273e+00,6.748466e-01,6.875000e-01,9.999999e-01,5.954545e+01,4.198473e-01
3.210000e+00,6.884735e-01,3.100700e-11,5.981900e+00,1.671710e-01,3.100700e-11,5.981900e+00,1.671710e-01,3.100700e-11,5.981900e+00,1.671710e-01,3.100700e-11,5.981900e+00,1.671710e-01,3.100700e-11,5.981900e+00,1.671710e-01,8.828058e-08,5.927602e+00,6.748091e-01,8.828058e-08,5.927602e+00,6.748091e-01,8.828058e-08,5.927602e+00,6.748091e-01,8.828058e-08,5.927602e+00,6.748091e-01,8.828058e-08,5.927602e+00,6.748091e-01,6.884735e-01,9.999999e-01,5.954751e+01,4.198328e-01
3.220000e+00,6.894410e-01,3.019531e-11,5.981982e+00,1.671687e-01,3.019531e-11,5.981982e+00,1.671687e-01,3.019531e-11,5.981982e+00,1.671687e-01,3.019531e-11,5.981982e+00,1.671687e-01,3.019531e-11,5.981982e+00,1.671687e-01,8.610450e-08,5.927928e+00,6.747720e-01,8.610450e-08,5.927928e+00,6.747720e-01,8.610450e-08,5.927928e+00,6.747720e-01,8.610450e-08,5.927928e+00,6.747720e-01,8.610450e-08,5.927928e+00,6.747720e-01,6.894410e-01,9.999999e-01,5.954955e+01,4.198184e-01
3.230000e+00,6.904025e-01,2.940829e-11,5.982063e+00,1.671664e-01,2.940829e-11,5.982063e+00,1.671664e-01,2.940829e-11,5.982063e+00,1.671664e-01,2.940829e-11,5.982063e+00,1.671664e-01,2.940829e-11,5.982063e+00,1.671664e-01,8.399072e-08,5.928251e+00,6.747352e-01,8.399072e-08,5.928251e+00,6.747352e-01,8.399072e-08,5.928251e+00,6.747352e-01,8.399072e-08,5.928251e+00,6.747352e-01,8.399072e-08,5.928251e+00,6.747352e-01,6.904025e-01,9.999999e-01,5.955157e+01,4.198042e-01
3.240000e+00,6.913580e-01,2.864510e-11,5.982143e+00,1.671642e-01,2.864510e-11,5.982143e+00,1.671642e-01,2.864510e-11,5.982143e+00,1.671642e-01,2.864510e-11,5.982143e+00,1.671642e-01,2.864510e-11,5.982143e+00,1.671642e-01,8.193723e-08,5.928571e+00,6.746987e-01,8.193723e-08,5.928571e+00,6.746987e-01,8.193723e-08,5.928571e+00,6.746987e-01,8.193723e-08,5.928571e+00,6.746987e-01,8.193723e-08,5.928571e+00,6.746987e-01,6.913580e-01,9.999999e-01,5.955357e+01,4.197901e-01
3.250000e+00,6.923077e-01,2.790492e-11,5.982222e+00,1.671620e-01,2.790492e-11,5.982222e+00,1.671620e-01,2.790492e-11,5.982222e+00,1.671620e-01,2.790492e-11,5.982222e+00,1.671620e-01,2.790492e-11,5.982222e+00,1.671620e-01,7.994207e-08,5.928889e+00,6.746626e-01,7.994207e-08,5.928889e+00,6.746626e-01,7.994207e-08,5.928889e+00,6.746626e-01,7.994207e-08,5.928889e+00,6.746626e-01,7.994207e-08,5.928889e+00,6.746626e-01,6.923077e-01,9.999999e-01,5.955556e+01,4.197761e-01
3.260000e+00,6.932516e-01,2.718696e-11,5.982301e+00,1.671598e-01,2.718696e-11,5.982301e+00,1.671598e-01,2.718696e-11,5.982301e+00,1.671598e-01,2.718696e-11,5.982301e+00,1.671598e-01,2.718696e-11,5.982301e+00,1.671598e-01,7.800335e-08,5.929204e+00,6.746268e-01,7.800335e-08,5.929204e+00,6.746268e-01,7.800335e-08,5.929204e+00,6.746268e-01,7.800335e-08,5.929204e+00,6.746268e-01,7.800335e-08,5.929204e+00,6.746268e-01,6.932516e-01,9.999999e-01,5.955752e+01,4.197622e-01
3.270000e+00,6.941896e-01,2.649045e-11,5.982379e+00,1.671576e-01,2.649045e-11,5.982379e+00,1.671576e-01,2.649045e-11,5.982379e+00,1.671576e-01,2.649045e-11,5.982379e+00,1.671576e-01,2.649045e-11,5.982379e+00,1.671576e-01,7.611925e-08,5.929515e+00,6.745913e-01,7.611925e-08,5.929515e+00,6.745913e-01,7.611925e-08,5.929515e+00,6.745913e-01,7.611925e-08,5.929515e+00,6.745913e-01,7.611925e-08,5.929515e+00,6.745913e-01,6.941896e-01,9.999999e-01,5.955947e+01,4.197485e-01
3.280000e+00,6.951220e-01,2.581468e-11,5.982456e+00,1.671554e-01,2.581468e-11,5.982456e+00,1.671554e-01,2.581468e-11,5.982456e+00,1.671554e-01,2.581468e-11,5.982456e+00,1.671554e-01,2.581468e-11,5.982456e+00,1.671554e-01,7.428803e-08,5.929825e+00,6.745562e-01,7.428803e-08,5.929825e+00,6.745562e-01,7.428803e-08,5.929825e+00,6.745562e-01,7.428803e-08,5.929825e+00,6.745562e-01,7.428803e-08,5.929825e+00,6.745562e-01,6.951220e-01,9.999999e-01,5.956140e+01,4.197349e-01
3.290000e+00,6.960486e-01,2.515892e-11,5.982533e+00,1.671533e-01,2.515892e-11,5.982533e+00,1.671533e-01,2.515892e-11,5.982533e+00,1.671533e-01,2.515892e-11,5.982533e+00,1.671533e-01,2.515892e-11,5.982533e+00,1.671533e-01,7.250798e-08,5.930131e+00,6.745213e-01,7.250798e-08,5.930131e+00,6.745213e-01,7.250798e-08,5.930131e+00,6.745213e-01,7.250798e-08,5.930131e+00,6.745213e-01,7.250798e-08,5.930131e+00,6.745213e-01,6.960486e-01,9.999999e-01,5.956332e+01,4.197214e-01
3.300000e+00,6.969697e-01,2.452253e-11,5.982609e+00,1.671512e-01,2.452253e-11,5.982609e+00,1.671512e-01,2.452253e-11,5.982609e+00,1.671512e-01,2.452253e-11,5.982609e+00,1.671512e-01,2.452253e-11,5.982609e+00,1.671512e-01,7.077750e-08,5.930435e+00,6.744868e-01,7.077750e-08,5.930435e+00,6.744868e-01,7.077750e-08,5.930435e+00,6.744868e-01,7.077750e-08,5.930435e+00,6.744868e-01,7.077750e-08,5.930435e+00,6.744868e-01,6.969697e-01,9.999999e-01,5.956522e+01,4.197080e-01
