rho,betak1,betak2,psii1,Li1,gammai1,psii2,Li2,gammai2,psii3,Li3,gammai3,psii4,Li4,gammai4,psii5,Li5,gammai5,psii6,Li6,gammai6,psii7,Li7,gammai7,psii8,Li8,gammai8,psii9,Li9,gammai9,psii10,Li10,gammai10,beta,eta,L,gamma
4.420000e+00,5.914598e-01,8.193303e-01,8.509094e-06,5.825719e+00,1.716512e-01,8.509094e-06,5.825719e+00,1.716512e-01,8.509094e-06,5.825719e+00,1.716512e-01,5.107680e-10,5.970760e+00,1.674829e-01,5.107680e-10,5.970760e+00,1.674829e-01,5.107680e-10,5.970760e+00,1.674829e-01,5.107680e-10,5.970760e+00,1.674829e-01,1.059165e-09,5.966036e+00,1.676155e-01,1.059165e-09,5.966036e+00,1.676155e-01,1.059165e-09,5.966036e+00,1.676155e-01,7.737562e-01,9.999974e-01,5.925830e+01,1.687523e-01
4.430000e+00,5.923264e-01,8.197521e-01,8.365269e-06,5.826320e+00,1.716335e-01,8.365269e-06,5.826320e+00,1.716335e-01,8.365269e-06,5.826320e+00,1.716335e-01,5.021894e-10,5.970846e+00,1.674805e-01,5.021894e-10,5.970846e+00,1.674805e-01,5.021894e-10,5.970846e+00,1.674805e-01,5.021894e-10,5.970846e+00,1.674805e-01,1.042731e-09,5.966129e+00,1.676129e-01,1.042731e-09,5.966129e+00,1.676129e-01,1.042731e-09,5.966129e+00,1.676129e-01,7.742669e-01,9.999975e-01,5.926073e+01,1.687454e-01
4.440000e+00,5.931894e-01,8.201718e-01,8.224267e-06,5.826916e+00,1.716159e-01,8.224267e-06,5.826916e+00,1.716159e-01,8.224267e-06,5.826916e+00,1.716159e-01,4.937783e-10,5.970930e+00,1.674781e-01,4.937783e-10,5.970930e+00,1.674781e-01,4.937783e-10,5.970930e+00,1.674781e-01,4.937783e-10,5.970930e+00,1.674781e-01,1.026595e-09,5.966222e+00,1.676103e-01,1.026595e-09,5.966222e+00,1.676103e-01,1.026595e-09,5.966222e+00,1.676103e-01,7.747753e-01,9.999975e-01,5.926314e+01,1.687385e-01
4.450000e+00,5.940488e-01,8.205896e-01,8.086026e-06,5.827509e+00,1.715985e-01,8.086026e-06,5.827509e+00,1.715985e-01,8.086026e-06,5.827509e+00,1.715985e-01,4.855311e-10,5.971015e+00,1.674757e-01,4.855311e-10,5.971015e+00,1.674757e-01,4.855311e-10,5.971015e+00,1.674757e-01,4.855311e-10,5.971015e+00,1.674757e-01,1.010752e-09,5.966314e+00,1.676077e-01,1.010752e-09,5.966314e+00,1.676077e-01,1.010752e-09,5.966314e+00,1.676077e-01,7.752814e-01,9.999976e-01,5.926553e+01,1.687317e-01
4.460000e+00,5.949047e-01,8.210054e-01,7.950484e-06,5.828098e+00,1.715812e-01,7.950484e-06,5.828098e+00,1.715812e-01,7.950484e-06,5.828098e+00,1.715812e-01,4.774442e-10,5.971098e+00,1.674734e-01,4.774442e-10,5.971098e+00,1.674734e-01,4.774442e-10,5.971098e+00,1.674734e-01,4.774442e-10,5.971098e+00,1.674734e-01,9.951955e-10,5.966405e+00,1.676051e-01,9.951955e-10,5.966405e+00,1.676051e-01,9.951955e-10,5.966405e+00,1.676051e-01,7.757853e-01,9.999976e-01,5.926790e+01,1.687250e-01
4.470000e+00,5.957570e-01,8.214193e-01,7.817581e-06,5.828683e+00,1.715640e-01,7.817581e-06,5.828683e+00,1.715640e-01,7.817581e-06,5.828683e+00,1.715640e-01,4.695140e-10,5.971182e+00,1.674710e-01,4.695140e-10,5.971182e+00,1.674710e-01,4.695140e-10,5.971182e+00,1.674710e-01,4.695140e-10,5.971182e+00,1.674710e-01,9.799189e-10,5.966496e+00,1.676026e-01,9.799189e-10,5.966496e+00,1.676026e-01,9.799189e-10,5.966496e+00,1.676026e-01,7.762869e-01,9.999977e-01,5.927026e+01,1.687183e-01
4.480000e+00,5.966058e-01,8.218313e-01,7.687258e-06,5.829264e+00,1.715469e-01,7.687258e-06,5.829264e+00,1.715469e-01,7.687258e-06,5.829264e+00,1.715469e-01,4.617370e-10,5.971264e+00,1.674687e-01,4.617370e-10,5.971264e+00,1.674687e-01,4.617370e-10,5.971264e+00,1.674687e-01,4.617370e-10,5.971264e+00,1.674687e-01,9.649169e-10,5.966587e+00,1.676000e-01,9.649169e-10,5.966587e+00,1.676000e-01,9.649169e-10,5.966587e+00,1.676000e-01,7.767862e-01,9.999977e-01,5.927261e+01,1.687116e-01
4.490000e+00,5.974510e-01,8.222414e-01,7.559460e-06,5.829841e+00,1.715300e-01,7.559460e-06,5.829841e+00,1.715300e-01,7.559460e-06,5.829841e+00,1.715300e-01,4.541099e-10,5.971347e+00,1.674664e-01,4.541099e-10,5.971347e+00,1.674664e-01,4.541099e-10,5.971347e+00,1.674664e-01,4.541099e-10,5.971347e+00,1.674664e-01,9.501837e-10,5.966677e+00,1.675975e-01,9.501837e-10,5.966677e+00,1.675975e-01,9.501837e-10,5.966677e+00,1.675975e-01,7.772834e-01,9.999977e-01,5.927494e+01,1.687050e-01
4.500000e+00,5.982928e-01,8.226496e-01,7.434129e-06,5.830414e+00,1.715131e-01,7.434129e-06,5.830414e+00,1.715131e-01,7.434129e-06,5.830414e+00,1.715131e-01,4.466294e-10,5.971429e+00,1.674641e-01,4.466294e-10,5.971429e+00,1.674641e-01,4.466294e-10,5.971429e+00,1.674641e-01,4.466294e-10,5.971429e+00,1.674641e-01,9.357138e-10,5.966767e+00,1.675950e-01,9.357138e-10,5.966767e+00,1.675950e-01,9.357138e-10,5.966767e+00,1.675950e-01,7.777783e-01,9.999978e-01,5.927726e+01,1.686984e-01
4.510000e+00,5.991311e-01,8.230560e-01,7.311212e-06,5.830983e+00,1.714964e-01,7.311212e-06,5.830983e+00,1.714964e-01,7.311212e-06,5.830983e+00,1.714964e-01,4.392923e-10,5.971510e+00,1.674618e-01,4.392923e-10,5.971510e+00,1.674618e-01,4.392923e-10,5.971510e+00,1.674618e-01,4.392923e-10,5.971510e+00,1.674618e-01,9.215019e-10,5.966856e+00,1.675925e-01,9.215019e-10,5.966856e+00,1.675925e-01,9.215019e-10,5.966856e+00,1.675925e-01,7.782710e-01,9.999978e-01,5.927956e+01,1.686918e-01
